Artikelnummer;Bezeichnung;Netto;EAN
F413401;GIOTTO Robercolor Whiteboard-Marker Medium V12 blau;300;8000825413414
F413402;GIOTTO Robercolor Whiteboard-Marker Medium V12 rot;300;8000825413438
F413403;GIOTTO Robercolor Whiteboard-Marker Medium V12 schwarz;300;8000825413452
F413404;GIOTTO Robercolor Whiteboard-Marker Medium V12 grün;300;8000825413513
F413500;GIOTTO Robercolor Whiteboard-Marker Giant W04;2,400.00;8000825413506
F413601;GIOTTO Robercolor Whiteboard-Marker Giant V12 blau;490;8000825413612
F413602;GIOTTO Robercolor Whiteboard-Marker Giant V12 rot;490;8000825413636
F413603;GIOTTO Robercolor Whiteboard-Marker Giant V12 schwarz;490;8000825413650
F413604;GIOTTO Robercolor Whiteboard-Marker Giant V12 grün;490;8000825413711
F413700;GIOTTO Robercolor Whiteboard Marker Giant, Etui mit 4 Farben;2,360.00;8000825413704
F413801;GIOTTO Robercolor Whiteboard Marker Giant, 12er Box, Blau;490;8000825413810
F413802;GIOTTO Robercolor Whiteboard Marker Giant, 12er Box, Rot;490;8000825413834
F413803;GIOTTO Robercolor Whiteboard Marker Giant, 12er Box, Schwarz;490;8000825413858
F413804;GIOTTO Robercolor Whiteboard Marker Giant, 12er Box, Grün;490;8000825413919
F414200;GIOTTO Robercolor Whiteboard Marker Medium, Etui mit 6 Farben;2,580.00;8000825008078
F415600;GIOTTO Turbo Color K06 aufhängbar;740;8000825020377
F423400;GIOTTO Turbo Bicolor K08 aufhängbar;1,630.00;8000825423406
F424600;GIOTTO Turbo Dobble Fasermaler K10;2,400.00;8000825424601
F424900;GIOTTO Turbo Giant Runddose mit 36 Stiften (3 x 12 Farben);16,020.00;8000825424908
F425800;GIOTTO Turbo Glitter K08;3,270.00;8000825425806
F426000;GIOTTO Turbo Advanced Kartonetui mit 12 Farben;2,080.00;8000825424205
F426200;GIOTTO Turbo Advanced Kartonetui mit 18 Farben;3,940.00;8000825006241
F426300;GIOTTO Turbo Glitter Pastel K08;3,270.00;8000825008719
F426500;GIOTTO Magic Lettering, Kartonetui mit 8 Farben, spezielle Faserspitze;3,750.00;8000825023507
F431000;GIOTTO Turbo Giant Pastell Kartonetui mit 6 Farben;2,755.00;8000825431005
F432000;GIOTTO Turbo Giant Kartonetui mit 12 Farben;5,510.00;8000825432002
F433000;GIOTTO Turbo Giant Fasermaler K6 Neon;2,550.00;8000825006203
F441000;GIOTTO Decor Glass K10 aufhängbar;3,830.00;8000825441004
