Artikelnummer;Bezeichnung;EAN;Netto
7400020;Karte Silberkommunion;4013890376762;0,05
7512010;Karte Weihnachten Motiv;4022318189440;36
7517001;Geldkuverts Weihnachten;4022318218249;0,43
7522021;Adventskalender A4;4022318197216;1,65
8101000;Karte Trauer Motiv;4022318287092;1,2
8101001;Karte Trauer Motiv;4022318280383;0,4
8101002;Karte Trauer Motiv;4014995610423;1,01
8101004;Karte Trauer Motiv;4014995197986;0,91
8101005;Karte Trauer Motiv;4014995579263;0,91
8101006;Karte Trauer Motiv mit;4022018203156;0,9
8101007;Karte Trauer Motiv;4014995197993;0,91
8101008;Karte Trauer Motiv;4014995610430;1,01
8101009;Karte Trauer Motiv;4042864890416;1,1
8101011;Karte Trauer Motiv;4014995274373;0,81
8101012;Karte Trauer Motiv;4014995274700;0,81
8101013;Karte Trauer Motiv;4014995610447;1,01
8101014;Karte Trauer Motiv;4014995274960;1,01
8101017;Karte Trauer Motiv;4014995274762;1,11
8101018;Karte Trauer Motiv;4014995383006;1,01
8101020;Karte Trauer Motiv;4014995610478;1,11
8101021;Karte Trauer Motiv;4014995274793;1,11
8101022;Karte Trauer Motiv;4014995274861;1,19
8101024;Karte Trauer Motiv;4014995274953;1,19
8101025;Karte Trauer Motiv;4042864812401;1,05
8101026;Karte Trauer Motiv;4014995274977;1,19
8101027;Karte Trauer Motiv;4014995610485;1,11
8101028;Karte Trauer Motiv;4014995387110;0,41
8101029;Karte Trauer Motiv;4014995383044;1,11
8101030;Karte Trauer Motiv;4014995737083;0,41
8101031;Karte Trauer Motiv;4014995387134;0,41
8101032;Karte Trauer Motiv;4014995387141;0,41
8101033;Karte Trauer Motiv;4014995610508;1,11
8101034;Karte Trauer Motiv;4014995387158;0,41
8101035;Karte Trauer Motiv;4014995610515;1,11
8101036;Karte Trauer Motiv;4014995387189;0,41
8101037;Karte Trauer Motiv;4014995372291;0,91
8101038;Karte Trauer Anzeige;4014995611741;1,41
8101039;Karte Trauer Motiv;4014995387806;0,41
8101040;Karte Trauer Motiv;4004703016807;0,9
8101041;Karte Trauer Motiv;4004703036515;0,9
8101042;Karte Trauer Motiv;4004703039172;0,9
8101043;Karte Trauer Motiv;4004703042622;1
8101044;Karte Trauer Motiv;4004703044763;0,9
8101045;Karte Trauer Motiv;4004703044619;0,9
