Artikelnummer;EAN;Bezeichnung;NETTO
I58070NP;6941057414171;"Wasserball ""transparent glitter"", 71cm";4.43 €
I58075NP;6941057413273;"Wasserball ""Melone"", 107cm";4.60 €
I58165NP;6941057451657;Surfer Joy Rider ;4.25 €
I58221NP;6941057452210;"Wasserspielring ""Big Animal Ring"", 3-6 Jahre, ca. 70x60cm";1.85 €
I58263NP;6941057452630;"Schwimmreifen ""Transparent Tube"" ab 9 Jahre, 2 Haltegriffe, Ø 97cm";3.42 €
I58412NP;6941057402604;Abdeckplane rechtecking (für Swimcenter);5.54 €
I58426NP;6941057454269;"Pool 3-Ring ""Crystalblue"", Wasserbedarf ca 330l, empfohlen ab 2 Jahre, 147x33cm";6.06 €
I58431NP;6941057454313;"Pool ""Soft-Side"", Wasserberdarf ca 790l, ab 3 Jahre, Ablassventil, 188x46cm";12.42 €
I58439NP;6941057454399;"Pool 3-Ring ""Cool Dots"", Wasserbedarf ca 330l, ab 2 Jahre, 147x33cm";8.30 €
I58446NP;6941057454467;"Pool 3-Ring ""Crystalblue"", Wasserbedarf ca 581l, ab 2 Jahre, 168x38cm";8.20 €
I58448NP;6941057413105;"Pool 3-Ring ""Watermelon"" ab 2 Jahre, 168x38cm";10.41 €
I58449NP;6941057454498;"Pool 3-Ring ""Cool Dots"", Wasserbedarf ca 581l, ab 2 Jahre, 168x38cm";12.08 €
I58480NP;6941057454801;"Swimcenter ""Aquarium"", Wasserbedarf ca 360l, ab 6 Jahre, Ablassventil, aufblasbarer Boden, 152x56cm";14.98 €
I58484NP;6941057458847;Swimcenter Family Pool, Wasserbedarf 1020l, ab6 Jahre ;29.52 €
I58523NP;6941057455235;"RideOn ""Kleiner Wal"", ab 3 Jahre, 152x114cm";5.91 €
I58535NP;6941057455358;"RideOn ""Kleiner Delphin"", ab 3 Jahre, 175x66cm";5.67 €
I58561NP;6941057455617;"RideOn ""Wal"", ab 3 Jahre, 193x119cm";8.00 €
I58562NP;6941057458564;"RideOn ""Alligator"", ab 3 Jahre, 203x114cm";10.93 €
I58590NP;6941057455907;"Badewannentiere ""Puff´n Play"", ab 2 Jahre, 6 fach sortiert";1.05 €
I58642EU;6941057408774;"Schwimmhilfe ""Deluxe klein"", 3-6 Jahre, 23x15cm";1.04 €
I58671EU;6941057456713;"Schwimmweste ""Deluxe"", 3-6 Jahre, 50x47cm";2.35 €
