Lieferantennummer;Artikelnummer;Artikelbezeichnung;EAN-Nummer;Warengruppe;Verpackungseinheit;Rabattgruppe;Mehrwertsteuerschlüssel;Netto-/Grundnettopreis;Unverbindliche VK-Preisempfehlung
4007176;13120;WD Vampirina Geschenk-Set 1;4007176131206;43;6;0;1;6.6;12.99
4007176;13121;WD Vampirina Geschenk-Set 2;4007176131213;43;6;0;1;6.6;12.99
4007176;13124;WD Vampirina Geschenk-Box 3 S;4007176131244;43;6;0;1;9.65;18.99
4007176;13180;WD Vaiana Sort 24 St;4007176131800;43;1;0;1;78.12;0
4007176;13185;WD Vaiana;4007176131855;43;6;0;1;3.19;6.99
4007176;13186;WD Maui;4007176131862;43;3;0;1;5.31;10.99
4007176;13187;WD Pua;4007176131879;43;6;0;1;2.38;4.99
4007176;13188;WD Heihei;4007176131886;43;6;0;1;2.02;3.99
4007176;13189;WD Kokomora;4007176131893;43;6;0;1;2.38;4.99
4007176;13190;WD Vaiana Geschenk-Box 4 St;4007176131909;43;2;0;1;12.95;24.95
4007176;13210;WD Kion;4007176132104;43;6;0;1;2.38;4.99
4007176;13211;WD Banga;4007176132111;43;6;0;1;2.02;3.99
4007176;13212;WD Beshti;4007176132128;43;3;0;1;3.86;7.99
4007176;13213;WD Fuli;4007176132135;43;6;0;1;2.38;4.99
4007176;13214;WD Ono;4007176132142;43;6;0;1;2.02;3.99
4007176;13244;WD Elena Avalor Geschenk-Set;4007176132449;43;6;0;1;6;11.99
4007176;13245;WD Prinzessin Geschenk-Box 3;4007176132456;43;2;0;1;9.5;19.99
4007176;13249;WD Elena von Avalor Sort 24;4007176132494;43;1;0;1;73.72;0
4007176;13250;WD Elena;4007176132500;43;6;0;1;3.19;6.99
4007176;13251;WD Isabel;4007176132517;43;6;0;1;2.73;5.99
4007176;13252;WD Mateo;4007176132524;43;6;0;1;2.73;5.99
4007176;13253;WD Skylar;4007176132531;43;6;0;1;3.86;7.99
4007176;13255;WD Elena im Ballkleid;4007176132555;43;3;0;1;3.86;7.99
4007176;13288;WD Die Unglaublichen 2;4007176132883;43;4;0;1;8;15.99
4007176;13289;WD Die Unglaublichen 2;4007176132890;43;2;0;1;15.5;29.99
4007176;13436;WD Belle Geschenk-Set;4007176134368;43;4;0;1;6;11.99
4007176;13437;WD Arielle Geschenk-Set;4007176134375;43;4;0;1;6;11.99
4007176;13438;WD Cinderella Geschenk-Set;4007176134382;43;4;0;1;6;11.99
4007176;13446;WD Die Eiskönigin GB 3 St;4007176134467;43;4;0;1;8.35;17.99
4007176;13450;WD Vampirina;4007176134504;43;3;0;1;3.78;7.99
4007176;13451;WD Ghoul Girls Vampirina;4007176134511;43;3;0;1;3.78;7.99
4007176;13452;WD Gregoria;4007176134528;43;6;0;1;3.1;6.99
4007176;13453;WD Wolfie;4007176134535;43;6;0;1;2.73;5.99
4007176;13454;WD Demi;4007176134542;43;6;0;1;2.73;5.99
4007176;13461;WD Rapunzel stehend GS;4007176134610;43;6;0;1;6;11.99
4007176;13462;WD Rapunzel kurzhaarig GS;4007176134627;43;6;0;1;6;11.99
4007176;13463;WD Rapunzel laufend GS;4007176134634;43;6;0;1;6;11.99
4007176;15046;WD Mickey Racers Sort 24;4007176150467;43;1;0;1;64.32;0
4007176;15074;WD Mickey Weihnachten GS;4007176150740;43;6;0;1;6.6;12.99
4007176;15077;WD Micky Valentine GS;4007176150771;43;6;0;1;6.6;12.99
4007176;15081;WD Micky Bayern GS;4007176150818;43;6;0;1;6.6;12.99
4007176;15082;WD Micky Halloween GS;4007176150825;43;6;0;1;6.6;12.99
4007176;15083;WD Micky Double Pack;4007176150832;43;6;0;1;5.5;10.99
4007176;15084;WD Micky&Freunde Geschenk-Set;4007176150849;43;6;0;1;5.5;11.99
4007176;15085;WD Micky&Freunde Geschenk-Set;4007176150856;43;6;0;1;5.5;11.99
4007176;15209;WD Spardose Micky;4007176152096;43;3;0;1;11.05;21.99
4007176;15210;WD Spardose Minnie;4007176152102;43;3;0;1;11.05;21.99
4007176;15290;WD Minnie Halloween;4007176152904;43;6;0;1;3.19;6.99
4007176;15291;WD Micky Halloween;4007176152911;43;6;0;1;3.19;6.99
4007176;15292;WD Micky Valentine;4007176152928;43;6;0;1;3.19;6.99
4007176;15293;WD Minnie Valentine;4007176152935;43;6;0;1;3.19;6.99
4007176;15310;WD Dagobert Duck;4007176153109;43;6;0;1;2.73;5.99
4007176;15328;WD Minnie mit Tasche;4007176153284;43;6;0;1;2.73;5.99
4007176;15329;WD Minnie mit Hündchen;4007176153291;43;6;0;1;2.73;5.99
4007176;15337;WD Daisy;4007176153376;43;6;0;1;2.73;5.99
4007176;15338;WD Micky Celebration;4007176153383;43;6;0;1;2.73;5.99
4007176;15339;WD Minnie Celebration;4007176153390;43;6;0;1;2.73;5.99
4007176;15343;WD Daisy;4007176153437;43;6;0;1;2.73;5.99
4007176;15345;WD Donald;4007176153451;43;6;0;1;2.73;5.99
4007176;15346;WD Goofy;4007176153468;43;6;0;1;2.73;5.99
4007176;15347;WD Pluto;4007176153475;43;6;0;1;2.73;5.99
4007176;15348;WD Micky;4007176153482;43;6;0;1;2.73;5.99
4007176;15349;WD Minnie;4007176153499;43;6;0;1;2.73;5.99
4007176;15390;WD Micky in Lederhose;4007176153901;43;6;0;1;3.19;6.99
4007176;15391;WD Minnie im Dirndl;4007176153918;43;6;0;1;3.19;6.99
4007176;15441;WD Micky Weihnachten;4007176154410;43;6;0;1;3.19;6.99
4007176;15442;WD Minnie Weihnachten;4007176154427;43;6;0;1;3.19;6.99
4007176;15459;WD Rennfahrer Micky im Auto;4007176154595;43;3;0;1;3.78;7.99
