Artikelnummer;Bezeichnung;NETTO;EAN
940650;RC EI! EI! EI! 6ER SET, 2-FACH SORTIERT;0.70 €;4032722940650
940537;RC SANTA & OLAF 2ER SET, SORTIERT;0.70 €;4032722940537
940520;RC ENGEL, 2-FACH SORTIERT;0.70 €;4032722940520
940902;RC SPAßFINGER;0.70 €;4032722940902
940513;RC FROSCHKÖNIG;0.70 €;4032722940513
941145;RC GLUBSCHAUGEN-MONSTER, 2-FACH SORTIERT;0.70 €;4032722941145
941350;RC WACKELMÄNNCHEN, 4-FACH SORTIERT;0.70 €;4032722941350
941589;RC BOWLING SET 6-TEILIG, 2-FACH SORTIERT;0.70 €;4032722941589
941558;RC MINI-BÜCHER-SET 4-TLG., 2-FACH SORT.;0.70 €;4032722941558
941169;RC STIMMUNGS-BAROMETER;0.70 €;4032722941169
941947;"KINDERSTEMPEL ""PRINZESSINNEN""SELBSTFÄRB.";0.80 €;4032722941947
941954;"KINDERSTEMPEL ""NATUR"" SELBSTFÄRBEND";0.80 €;4032722941954
941961;"KINDERSTEMPEL ""REISE"" SELBSTFÄRBEND";0.80 €;4032722941961
941978;"KINDERSTEMPEL ""FANTASIE-WELT""SELBSTFÄRB.";0.80 €;4032722941978
941152;XTREME FUN SPORTS POWERSCHNUR, 4-F.SORT;0.95 €;4032722941152
942227;TRAUMSTERNE-SET, 2-FACH SORTIERT;1.36 €;4032722942227
942173;BIRTHDAY FUN STABKERZE-LUFTBALLON,6-F.S.;0.80 €;4032722942173
942197;BIRTHDAY FUN SCHRIFTZUGKERZEN 13-TEILIG;1.85 €;4032722942197
941985;BF ZAHLENKERZE GLIT. DISPLAY;1.25 €;4032722941985
941992;BF ZAHLENKERZE GLITTER MAXI 0;1.25 €;4032722941992
942005;BF ZAHLENKERZE GLITTER MAXI 1;1.25 €;4032722942005
942012;BF ZAHLENKERZE GLITTER MAXI 3;1.25 €;4032722942012
942029;BF ZAHLENKERZE GLITTER MAXI 4;1.25 €;4032722942029
942036;BF ZAHLENKERZE GLITTER MAXI 5;1.25 €;4032722942036
942043;BF ZAHLENKERZE GLITTER MAXI 6;1.25 €;4032722942043
942050;BF ZAHLENKERZE GLITTER MAXI 7;1.25 €;4032722942050
942067;BF ZAHLENKERZE GLITTER MAXI 8;1.25 €;4032722942067
