Artikelnummer;EAN;Bezeichnung;VE;Netto
9797;4033477097972;Expedition Natur Multitool Schlüsselanhänger;22.4;2.8
9798;4033477097989;Expedition Natur Taschenmesser 3 in1;18.64;2.33
9799;4033477097996;Expedition Natur Wasserwaage;21.96;1.83
9803;4033477098030;Expedition Natur LED-Taschenlupe;18.64;2.33
9804;4033477098047;Expedition Natur Taschenkompass ;26.16;3.27
9805;4033477098054;Expedition Natur 2in1 Mini-Laterne;18.64;2.33
9806;4033477098061;Expedition Natur Schlüsselanhänger Schraubenzieher-Tool ;14.88;1.86
9809;4033477098092;Expedition Natur Multifunktions-Karabiner mit Messer, Säge und LED-Licht;14.04;4.68
9810;4033477098108;Expedition Natur LED-Stirnlampe;18.76;9.38
16003;4033477160034;Krabbelkäfer Fingerpüppchen;66.96;1.86
16008;4033477160089;Krabbelkäfer Domino ;19.56;4.89
16011;4033477160119;Krabbelkäfer Hüpfball;23.96;5.99
16023;4033477160232;Krabbelkäfer Vogelfutterstation ;24.8;6.2
16028;4033477160287;Krabbelkäfer Blätter- und Blütenpresse ;19.08;4.77
16030;4033477160300;Krabbelkäfer Springseil;20.34;3.39
16033;4033477160331;Krabbelkäfer Fahrradhupe;20.34;3.39
16036;4033477160362;Krabbelkäfer Taschendrachen ;68.58;3.81
16039;4033477160393;Mein erstes Krabbelkäfer Spiel;7.4;7.4
16046;4033477160461;Krabbelkäfer Lustige Holzraupen ;27.96;2.33
16050;4033477160508;Krabbelkäfer Schnecken-&-Käferlabyrinth ;25.24;6.31
16056;4033477160560;Krabbelkäfer Vogelhäuschen ;18.93;6.31
16063;4033477160638;Mein kleiner bunter Krabbelkäfer;7.91;7.91
16064;4033477160645;Krabbelkäfer Zauberhandtuch ;28.92;2.41
16065;4033477160652;Krabbelkäfer Gartenhandschuhe ;16.8;2.8
16067;4033477160676;Krabbelkäfer Fang den Frosch ;18.27;6.09
16069;4033477160690;Krabbelkäfer Gerätegürtel ;18.27;6.09
16072;4033477160720;Krabbelkäfer Schürze für Kinder ;24.54;4.09
16079;4033477160799;Krabbelkäfer Marienkäferball ;18.72;4.85
16087;4033477160874;Krabbelkäfer Fernglas ;25.24;6.31
16091;4033477160911;Krabbelkäfer Kastanienbohrer;14.04;4.68
16092;4033477160928;Krabbelkäfer Anzuchtsets Gemüse zum Knabbern;31.08;2.59
16093;4033477160935;Krabbelkäfer Spritztiere;18.88;1.18
16094;4033477160942;Krabbelkäfer Lustiges Kegelspiel;18.93;6.31
16095;4033477160959;Krabbelkäfer Große Handlupen;23.22;3.87
16096;4033477160966;Krabbelkäfer Turnbeutel;15.24;3.81
16097;4033477160973;Krabbelkäfer Mein kleiner Kressegarten;25.9;2.59
16098;4033477160980;Das große Krabbelkäfer-Stempelset;18.93;6.31
16099;4033477160997;Krabbelkäfer Insektenhotel zum Bemalen ;18.93;6.31
16100;4033477161000;Krabbelkäfer Futterglocken selber machen ;28.16;7.04
16101;4033477161017;Krabbelkäfer Regenschirm Bunte Tropfen;21.09;7.03
16102;4033477161024;Krabbelkäfer Mein kleines Schablonen-Malset;23.22;3.87
16103;4033477161031;Krabbelkäfer Mein erstes Stick-Set;28.92;2.41
16104;4033477161048;Krabbelkäfer Mini-Taschenlämpchen  ;22.08;0.92
16105;4033477161055;Krabbelkäfer Kuschelige Aufzieh-Freunde;40.68;3.39
16106;4033477161062;Krabbelkäfer Beobachtungsbox;21.84;7.28
16108;4033477161086;Krabbelkäfer Kleine Blütenpressen;23.2;2.9
16109;4033477161093;Krabbelkäfer Kehrset;18.93;6.31
16110;4033477161109;Krabbelkäfer Leuchtende Sprungbälle;23.16;1.93
16111;4033477161116;Krabbelkäfer Zahndosen;34.74;1.93
16112;4033477161123;Krabbelkäfer Rucksack;24.32;12.16
16113;4033477161130;Krabbelkäfer Gießkanne;18.93;6.31
16114;4033477161147;Krabbelkäfer Eimer;17.44;4.36
16118;4033477161185;Krabbelkäfer Pflaster;17.28;1.44
16119;4033477161192;Krabbelkäfer Memo;18.72;4.68
16120;4033477161208;Krabbelkäfer Eichhörnchen-Futterhaus;16.52;8.26
16121;4033477161215;Krabbelkäfer Pilzkreisel-Set;19.62;3.27
16122;4033477161222;Krabbelkäfer Softball;25.2;2.8
16123;4033477161239;Krabbelkäfer Radierbare Buntstifte;17.1;2.85
16124;4033477161246;Krabbelkäfer Lichtlupe;23.22;3.87
16953;4033477169532;Fingerpüppchen Weihnachtsschätze ;60.5;2.42
16954;4033477169549;Schneekugel Weihnachtswerkstatt;46.4;2.9
16955;4033477169556;Schneekugel Polarfreunde;46.4;2.9
16956;4033477169563;Nachtleuchtender Zauberstab;33.36;1.39
16957;4033477169570;Anhänger Puschel-Wichtel;32.94;1.83
16958;4033477169587;Singende Weihnachtsfreunde;34.83;3.87
16959;4033477169594;Plüsch-Knautschis Weihnachtsschätze;46.44;3.87
16960;4033477169600;Plüschige Handwärmer;39.24;3.27
16961;4033477169617;Zauberhafter Loop-Schal;38.8;4.85
16962;4033477169624;Zauberhafte Beanie-Mütze;36.8;4.6
16963;4033477169631;Großes Holzgeduldspiel Weihnachtsschätze;27.48;2.29
16964;4033477169648;Steckspiel Weihnachtsschätze;33.9;3.39
16965;4033477169655;Rasender Schlitten mit Gummiantrieb;23.22;3.87
16966;4033477169662;Holzkreisel Weihnachtsschätze;14.4;0.9
16967;4033477169679;Holz-Spieluhr Weihnachtsschätze;19.44;9.72
16968;4033477169686;Leuchtkreisel Weihnachtsschätze;25.02;1.39
16969;4033477169693;Blech-Jojo Weihnachtsschätze;22.32;1.86
16970;4033477169709;Leuchtender Glitzerflummi;25.92;1.44
16971;4033477169716;Schlüsselanhänger Leuchtender Weihnachtsmann;29.28;1.83
16972;4033477169723;Glitzerlampe Weihnachtsschätze;33.68;4.21
16973;4033477169730;Projektorlampe Adventsgeschichten;27.96;2.33
16974;4033477169747;Leuchtende Weihnachtsmurmeln;34.74;1.93
16976;4033477169761;Clip-Portemonnaie Weihnachtsschätze;43.92;1.83
16977;4033477169778;Radiererset Sterne;28.92;2.41
16978;4033477169785;Leuchtender Zauberstabkugelschreiber ;29.28;1.83
16979;4033477169792;Bleistift mit Glitzer-Radierer;32.64;1.36
16982;4033477169822;Handwärmer Herz;40.68;3.39
16983;4033477169839;Filz Tasche Stern;27.64;6.91
16984;4033477169846;Filz Portemonnaie Stern;36.64;2.29
16985;4033477169853;Kleine Geschenk-Stiefel;32.64;1.36
16986;4033477169860;Neon-Leuchte Stern;19.4;4.85
16987;4033477169877;Leuchtender Elch;33.68;4.21
16988;4033477169884;Schlüsselanhänger Weihnachtslicht;17.28;1.44
16989;4033477169891;Lichtflasche;25.26;4.21
16991;4033477169914;Anhänger Glitzernder Elch;24.48;1.36
16992;4033477169921;Anhänger Leucht-Stern;27.48;2.29
16993;4033477169938;Anhänger Samt-Stern;24.48;1.36
16994;4033477169945;Samt-Wichtel Wackelmütze;34.35;2.29
16995;4033477169952;Anhänger Samt-Wichtel ;24.48;1.36
16996;4033477169969;Schneekugel Waldzauber;46.4;2.9
16997;4033477169976;Leuchtender Rentier-Kugelschreiber;39.96;3.33
16998;4033477169983;Glitter-Bilderrahmen Wintertraum;22;2.75
16999;4033477169990;Gutschein-Buch Wintertraum ;27.48;2.29
17003;4033477170033;Anhänger Wichtel-Stern;25.92;1.44
17021;4033477170217;Leuchtende Sternenclips Weihnachtsschätze;33.36;1.39
17026;4033477170262;Anhänger Zapfenbande;22;2.75
17027;4033477170279;Blech-Spieluhr Weihnachtsschätze;43.65;4.85
17036;4033477170361;Wackel-Bleistift Weihnachtsschätze;22.8;0.95
17041;4033477170415;Mini-Taschenlampen Weihnachtsschätze;32.4;0.9
17042;4033477170422;Radierer Lustige Weihnachtsfreunde;29.28;1.22
17045;4033477170453;Zaubertafel Weihnachtsschätze;27.84;1.16
17046;4033477170460;Funkenrad Weihnachtsschätze;32.64;1.36
17053;4033477170538;Anhänger Tannenbaum;27.84;1.16
17055;4033477170552;Anhänger Kugeliger Wichtel;24.48;1.36
17058;4033477170583;24 Geschenkboxen;26.16;4.36
17061;4033477170613;Lichterkette Mini-Stern & Co.;33.03;3.67
17065;4033477170651;Handwärmer Flockenzauber;40.68;3.39
17069;4033477170699;Weihnachtsklebeband Briefmarken;32.64;1.36
17071;4033477170712;Schneekugeln Weihnacht;46.4;2.9
17072;4033477170729;Schneekugeln Winterwald;46.4;2.9
17080;4033477170804;Handwärmer Weihnachtsschätze;22.32;1.86
17081;4033477170811;Gutschein-Glas Frohe Weihnachten;28.44;2.37
17082;4033477170828;Kaleidoskop aus Holz;28.92;2.41
17085;4033477170859;Spieluhr-Häuschen;43.65;4.85
17086;4033477170866;Plüschige Weihnachtsflitzer;50.85;3.39
17087;4033477170873;Zauberhafter Waschhandschuh Weihnachtsschätze;33.48;1.86
17088;4033477170880;Plüschiger LED-Stern;34.88;4.36
17089;4033477170897;Wackelige Weihnachtsfreunde;34.83;3.87
17090;4033477170903;Flummi Weihnachtsfreunde;34.95;2.33
17093;4033477170934;Shopper Lovely things;14.55;4.85
17094;4033477170941;Handwärmflasche;40.68;3.39
17096;4033477170965;Handwärmer Basic;27.9;1.86
17097;4033477170972;Puschel-Bleistift Wintertraum;25.92;1.44
17098;4033477170989;Krippe im Köfferchen ;36.48;12.16
17100;4033477171009;Schneekugeln Wichtel;46.4;2.9
17128;4033477171283;Weihnachtslichter LED;27.48;2.29
17149;4033477171498;Teelicht-Karussell Weihnachten ;78.48;4.36
17162;4033477171627;Glitter-Gelstifte Weihnachtsschätze;28.92;2.41
17168;4033477171689;Leuchtender Sternenball;30.51;3.39
17170;4033477171702;Meine kleine Weihnachtsmusik;40.68;3.39
17171;4033477171719;Leuchtender Sprungball;27.8;1.39
17176;4033477171764;Leuchtende Schneekugel Winterhaus ;29.1;4.85
17183;4033477171832;Lichterkette Engelshaar;28.89;3.21
17189;4033477171894;Gelstifte 3er-Set;14.46;2.41
17192;4033477171924;Motivlocher Wintertraum;27.9;1.86
17198;4033477171986;Rasende Weihnachtsboten;46.32;1.93
17244;4033477172440;Kleines Holzgeduldspiel Weihnachtsschätze;34.56;1.44
17254;4033477172549;Zauberhandtuch Weihnachtsschätze;27.96;2.33
17266;4033477172662;Kleine Weihnachtsradierer;34.56;1.44
17271;4033477172716;Säckchen voller Sterne ;52.2;2.9
17281;4033477172815;Schneekugeln Winterzauber;46.4;2.9
17293;4033477172938;Mein Weihnachtsengel;23.16;1.93
17297;4033477172976;Kuschelige Zaubersocken;39.24;3.27
17338;4033477173386;Anhänger Klingelnder Wichtel;27.2;1.36
17345;4033477173454;Glitzerndes Gutscheinglas;29.28;1.83
17348;4033477173485;Glitzernder LED Anhänger Stern & Herz;27.48;2.29
17351;4033477173515;Glitzer-Leuchtstern;44.88;3.74
17352;4033477173522;Bunte Mini-Lichterkette;33.03;3.67
17355;4033477173553;LED Mini-Glas Wintertraum;36.15;2.41
17359;4033477173591;Anhänger Weihnachtsengel;28.8;1.44
17364;4033477173645;Anhänger Kuscheliger Elch;32.94;1.83
17378;4033477173782;Lichtbox Wintertraum;36.54;6.09
17379;4033477173799;Drehstempel Wintertraum;25.74;4.29
17380;4033477173805;Wärmflasche Rudi;19.46;9.73
17381;4033477173812;Shopper Wundertüte;14.55;4.85
17382;4033477173829;Handlicht Wintertraum;44;2.75
17384;4033477173843;Kugelschreiber Rudi;28.92;2.41
17385;4033477173850;Zaubersocken für Große;40.68;3.39
17386;4033477173867;Mini-Geschenkbriefe;32.94;1.83
17387;4033477173874;Wandhänger Rudi;19.4;4.85
17389;4033477173898;Filz Geschenktasche mit Grußkarte;34.8;2.9
17390;4033477173904;Filz Täschchen mit Grußkarte;33;2.75
17477;4033477174772;Weihnachtskrippe aus Holz;29.2;14.6
17994;4033477179944;Spieluhr Wintertraum;67.2;2.8
18000;4033477180001;Kinder-Koch-Set ;29.67;9.89
18001;4033477180018;Kinder-Back-Set ;34.14;11.38
20001;4033477200013;Traumsterne Box Große Sterne ;36;0.18
20002;4033477200020;Traumsterne Box Kleine Sterne;32;0.08
20006;4033477200068;Traumsterne Box Mittlere Sterne;36;0.12
20007;4033477200075;Traumsterne Box Mond & Sterne ;39.95;0.1
20008;4033477200082;Traumsterne Kleine Sternenmischung;36.25;1.45
20018;4033477200181;Traumsterne Kleine Traumsternchen ;52.2;2.9
21031;4033477210319;50 lustige Spiele für unterwegs;4.09;4.09
21045;4033477210456;50 lustige Spiele für den Kindergeburtstag;4.09;4.09
21051;4033477210517;50 knifflige Weihnachtsrätsel ;4.09;4.09
21051;4033477210517;50 knifflige Weihnachtsrätsel ;4.09;4.09
21057;4033477210579;50 tolle Ideen für die Ferien;4.09;4.09
21058;4033477210586;50 knifflige Knobeleien für kleine Rätselfreunde;4.09;4.09
21066;4033477210661;50 verblüffende Experimente zum Selbermachen und Staunen                               ;4.09;4.09
21067;4033477210678;50 optische Illusionen                         ;4.09;4.09
21077;4033477210777;50 lustige Bilderrätsel für Knobelfreunde;4.09;4.09
21078;4033477210784;50 lustige Spiele für lange Autofahrten;4.09;4.09
21079;4033477210791;50 Naturexperimente ;4.09;4.09
21082;4033477210821;50 Logikrätsel für kleine Rätselfreunde;4.09;4.09
21085;4033477210852;50 blitzschnelle Bastelideen;4.09;4.09
21090;4033477210906;50 tolle Zaubertricks für kleine Magier;4.09;4.09
21092;4033477210920;50 tolle Tipps für kleine Gärtner;4.09;4.09
21093;4033477210937;Tierisch fit! 50 spielerische Übungen für kleine Energieb.;4.09;4.09
21095;4033477210951;50 leckerleichte Rezepte für kleine Köche;4.09;4.09
21096;4033477210968;50 tolle Entspannungsideen für Kinder;4.09;4.09
21097;4033477210975;50 erstaunliche Experimente für kleine Wissenschaftler;4.09;4.09
21123;4033477211231;50 Reise-Regen-Rücksitz-Rätsel;4.09;4.09
25135;4033477251350;Querdenken - um die Ecke denken;10.81;10.81
25139;4033477251398;Loop light;41.25;2.75
25150;4033477251503;Christiane Stengers Gedächtnistraining;9.73;9.73
25151;4033477251510;moses. Taschenbüro;40.68;3.39
25158;4033477251589;Taschenlicht;44.8;2.8
25168;4033477251688;Die große Box mit Optischen Illusionen;12.16;12.16
25172;4033477251725;Lunchbag Flower;16.8;2.8
25173;4033477251732;Lunchbag Dalmatiner Dots ;16.8;2.8
26017;4033477260178;Mini Büro Box;40.68;3.39
26029;4033477260291;Biegestifte Schlange & Co. ;33.48;1.86
26046;4033477260468;Glitter Gelstifte ;23.16;1.93
26056;4033477260567;Lehrerstempel ;14.55;4.85
26058;4033477260581;Mini Glittergelstifte ;28.92;2.41
26062;4033477260628;Geheimcodestift Schmetterling ;21.96;1.83
26063;4033477260635;Lustige Lesefreunde  ;30.78;1.71
26070;4033477260703;Wachsmalstifte Paper-Wrap ;34.88;4.36
26072;4033477260727;Neon-Buntstifte ;34.74;1.93
26079;4033477260796;Tagebuch Cats;12.18;6.09
26092;4033477260925;Tagebuch Flowers;12.18;6.09
26099;4033477260994;Knet-Radierer;21.12;0.44
26106;4033477261069;Pferde-Radierer;22.32;1.86
26107;4033477261076;Baustein-Radierer;22.32;1.86
26108;4033477261083;Radiersets Bunte Tierwelt;34.35;2.29
26109;4033477261090;Einhorn-Kugelschreiber;34.56;1.44
26111;4033477261113;Einhorn-Glittergelstifte;23.04;1.92
26113;4033477261137;8-Farb-Kugelschreiber ;21.96;1.83
26115;4033477261151;Einhorn-Bleistift mit Radierer;22.08;0.92
26118;4033477261182;Sticky Notes Flowers & Dots;34.8;2.9
26119;4033477261199;Kugelschreiber Flowers & Dots;33.12;0.92
