Artikelnummer;EAN Code;Bezeichnung;St. In VE;Info;Netto;UVP;Warengruppe;Rabattgruppe;MWS;
70576;4055744020421;GefluegeltesRegenb.einh;3;N;8.70;14.99;43;1;1;
70577;4055744020438;Gefl.Regenb.einh.Fohle;3;N;4.65;7.99;43;1;1;
70629;4055744021862;32 Fohlen, sortiert;1;N;88.96;159.68;43;1;1;
15006;4055744021978;Jungtier Therizinosaurus;1;N;8.35;14.99;43;1;1;
15007;4055744022005;Jungtier Tyrannosaurus Rex;1;N;8.35;14.99;43;1;1;
15008;4055744022036;Pteranodon;1;N;5.70;9.99;43;1;1;
41461;4055744023118;Dinoset mit Hoehle;1;N;31.00;49.99;43;1;1;
42407;4055744021060;Bauernhaus + Stall und Tieren;2;N;52.00;79.99;43;1;1;
42408;4055744021077;Abenteuer Baumhaus;2;N;38.00;59.99;43;1;1;
42410;4055744021107;Gelaendewagen mit Seilwinde;1;N;24.80;39.99;42;1;1;
42416;4055744022043;Grosser Pferdehof+Wohnh+Stall;2;N;79.00;119.99;43;1;1;
42417;4055744023125;Reiter-Café;1;N;28.00;44.99;43;1;1;
42426;4055744021084;Geburtstagspicknick;3;N;5.88;9.99;43;1;1;
42442;4055744025129;Spielteppich Bauernhof;1;N;18.60;29.99;43;1;1;
42445;4055744021909;Glitz.Bluetenh+Einh,See+Stall;2;N;46.00;69.99;43;1;1;
42447;4055744020933;Lava Golem mit Waffe;3;N;8.70;14.99;43;1;1;
42448;4055744020940;Eismonster mit Waffe;3;N;8.70;14.99;43;1;1;
42449;4055744020957;Monsterkrake mit Waffe;3;N;8.70;14.99;43;1;1;
42450;4055744020964;Steinskelett mit Waffe;3;N;8.70;14.99;43;1;1;
42451;4055744020971;Hoellenhund;3;N;5.70;9.99;43;1;1;
42452;4055744020988;Schneewolf;3;N;5.70;9.99;43;1;1;
42453;4055744020995;Monsterfisch;3;N;5.70;9.99;43;1;1;
42454;4055744021008;Hoehlenbaer;3;N;5.70;9.99;43;1;1;
42455;4055744021015;Frostmonster vs. Feuerloewe;1;N;21.00;34.99;43;1;1;
42489;4055744024771;Sattel&Zaumz.HC Hanna&Cayenne;6;N;1.68;2.99;43;1;1;
42490;4055744024788;Sattel&Zaumz.HC Sofia&Blossom;6;N;1.68;2.99;43;1;1;
42491;4055744024795;Sattel&Zaumz.HC Lisa & Storm;6;N;1.68;2.99;43;1;1;
42492;4055744024801;Sattel&Zaumz.HC Sarah&Mystery;6;N;1.68;2.99;43;1;1;
70138;4055744021022;Lavadrache;2;N;11.25;19.99;43;1;1;
70139;4055744021039;Eisdrache;2;N;11.25;19.99;43;1;1;
70140;4055744021046;Seemonster;2;N;11.25;19.99;43;1;1;
70141;4055744021053;Steinmonster;2;N;11.25;19.99;43;1;1;
70565;4055744020346;Sera mit Blueten-Einhorn;3;N;10.20;17.99;43;1;1;
70566;4055744020353;Surah mit Glitzer-Pegasus;3;N;10.20;17.99;43;1;1;
70567;4055744020360;Marween mit Glitzer-Einhorn;3;N;10.20;17.99;43;1;1;
70568;4055744020377;Feya mit Pegasus-Einhorn;3;N;10.20;17.99;43;1;1;
70569;4055744020384;Eyela + Prinzessinnen-Einhorn;3;N;10.20;17.99;43;1;1;
70573;4055744021947;Schmuckeinhorn, Stute;3;N;8.70;14.99;43;1;1;
70574;4055744021954;Schmuckpegasus, Hengst;3;N;8.70;14.99;43;1;1;
70575;4055744021961;Schmuckeinhorn-Pegasus,Fohlen;3;N;4.65;7.99;43;1;1;
97700;4055744021091;Adventskal. Farm World 2018;6;N;19.00;29.99;85;1;1;
97702;4055744021114;Adventskal. Wild Life 2018;6;N;19.00;29.99;85;1;1;
97780;4055744023132;Horse Club Adventskal. 2018;6;N;19.00;29.99;85;1;1;
97912;4055744024900;Display Adventskal.Farm World;1;N;228.00;359.88;85;1;1;
97913;4055744024917;Display Adventskal.Horse Club;1;N;228.00;359.88;85;1;1;
97914;4055744024924;Display Eldrador Creatures;1;N;274.20;479.66;43;1;1;
97915;4055744024931;Display Nikolaus;1;N;486.73;862.99;43;1;1;
97917;4055744024955;Display Adventsk. gemischt;1;N;228.00;359.88;85;1;1;
97918;4055744024962;Display Adventskal. Wild Life;1;N;228.00;359.88;85;1;1;
97921;4055744024993;Weihnachtspalette;1;N;1055.40;1649.76;85;1;1;
97916;4055744024948;Schaufenster Weihnachten;1;N;165.00;0.00;90;1;1;
97920;4055744024986;Schaufenst.Eldrador Creatures;1;N;165.00;0.00;90;1;1;
14540;4005086145405;Anhanguera;1;;5.70;9.99;43;1;1;
20800;4055744012211;Schlumpf Movie Set 1;5;;7.65;12.99;43;1;1;
20801;4055744012228;Schlumpf Movie Set 2;5;;7.65;12.99;43;1;1;
20802;4055744012235;Schlumpf Movie Set 3;3;;14.80;24.99;43;1;1;
21049;4005086210493;Pferdefuett. Trakehner;3;;12.10;21.99;43;1;1;
22043;4055744007361;Scenery Pack Baseball;3;;8.70;14.99;43;1;1;
22050;4005086220508;Olaf;5;;2.50;4.49;43;1;1;
22051;4005086220515;Spike;5;;2.50;4.49;43;1;1;
22052;4005086220522;Peppermint Patty;5;;2.50;4.49;43;1;1;
22053;4005086220539;Fifi;5;;2.50;4.49;43;1;1;
22055;4055744007385;SP Lucy & Schroeder;3;;8.70;14.99;43;1;1;
22540;4055744010057;BATMAN vs. BANE;2;;11.25;19.99;43;1;1;
22541;4055744010071;SUPERMAN vs.LEX LUTHOR;2;;11.25;19.99;43;1;1;
41431;4005086414310;Pferdepfl.+Isl.Pony St;5;;5.88;9.99;43;1;1;
41434;4005086414341;Springreitt+Knabstr.St;3;;12.10;21.99;43;1;1;
41443;4055744005275;Magisch.Blueten-Ballon;1;;24.80;39.99;43;1;1;
42111;4005086421110;Turnierreiterin;3;;8.70;14.99;43;1;1;
42112;4005086421127;Westernreiterin;3;;8.70;14.99;43;1;1;
42122;4005086421226;Westernsattel+Zaumzeug;6;;1.68;2.99;43;1;1;
42123;4005086421233;Springreitsattel+Zaumz;6;;1.68;2.99;43;1;1;
42126;4005086421264;Ponysattel + Zaumzeug;6;;1.68;2.99;43;1;1;
42138;4005086421387;Spieleteppich Farm L.;1;;18.60;29.99;43;1;1;
42165;4005086421653;Freizeitreitsattel+Z.;6;;1.68;2.99;43;1;1;
42166;4005086421660;Turnierreitsattel+Zaum;6;;1.68;2.99;43;1;1;
42172;4005086421721;Heilungsset, gross;3;;12.10;21.99;43;1;1;
42173;4005086421738;Pflege+FuttersEinh+Peg;3;;12.10;21.99;43;1;1;
42261;4005086422612;Dinosaurierset +Hoehle;1;;31.00;49.99;43;1;1;
42270;4005086422704;Pferdepfl.s.Andalusier;3;;8.70;14.99;43;1;1;
42358;4055744011771;Springreiterin + Pferd;3;;8.70;14.99;43;1;1;
42359;4055744012396;Freizeitreiterin+Pferd;3;;8.70;14.99;43;1;1;
42362;4055744012426;Pferdepfleg. + Shettys;3;;8.70;14.99;43;1;1;
42363;4055744012433;Reiterin +Island Ponys;3;;12.10;21.99;43;1;1;
42382;4055744014055;Gorillas auf Futters.;1;;8.70;14.99;43;1;1;
70124;4005086701243;Skorpionreiter;1;;21.00;34.99;43;1;1;
70503;4005086705036;Sera,festl.Kleid,reit;3;;8.70;14.99;43;1;1;
70504;4005086705043;Surah,festl.Kleid,reit;3;;8.70;14.99;43;1;1;
70505;4005086705050;Feya,festl.Kleid,steh;3;;4.65;7.99;43;1;1;
70508;4005086705081;Drache Flieger;2;;11.25;19.99;43;1;1;
70509;4005086705098;Drache Kaempfer;2;;11.25;19.99;43;1;1;
70512;4005086705128;Drache Krieger;2;;11.25;19.99;43;1;1;
70514;4005086705142;Surah,festl.Kleid,steh;3;;4.65;7.99;43;1;1;
70516;4005086705166;Eyela,festl.Kleid,reit;3;;8.70;14.99;43;1;1;
70517;4005086705173;Marween,fest.Kleid,rei;3;;8.70;14.99;43;1;1;
70519;4005086705197;Feya,festl.Kleid,reit;3;;8.70;14.99;43;1;1;
70520;4005086705203;Drache Taucher;2;;11.25;19.99;43;1;1;
70526;4005086705265;Feyas Rosenhuendchen;5;;2.20;3.99;43;1;1;
70528;4005086705289;Seras Blaetterhase;5;;2.20;3.99;43;1;1;
70530;4005086705302;MarweensStreifenfohlen;5;;2.78;4.99;43;1;1;
70531;4005086705319;IlorisSchleierbaerchen;5;;2.20;3.99;43;1;1;
70534;4055744005411;Venuja;3;;4.65;7.99;43;1;1;
70535;4055744005435;Femaja;3;;4.65;7.99;43;1;1;
70536;4055744005459;Zenaja;3;;4.65;7.99;43;1;1;
70539;4055744005510;Safenja;3;;8.70;14.99;43;1;1;
70541;4055744008986;Drache Eis-Stuermer;2;;11.25;19.99;43;1;1;
70542;4005086705425;36 Elfenbegleiter,sort;1;;89.64;161.64;43;1;1;
70548;4055744012310;Zenajas Bluetenreh;5;;2.78;4.99;43;1;1;
70559;4055744012860;Drache Nachtjaeger;2;;11.25;19.99;43;1;1;
70560;4055744012877;Drache Wilderer;2;;11.25;19.99;43;1;1;
