Artikelnummer;EAN;Bezeichnung;Netto
24972;4001190249725;Mini Rucksack Eule;14.5
24973;4001190249732;Mini Geldbeutel Eule;7.15
24974;4001190249749;Mini Rucksack Tiger;14.5
24975;4001190249756;Mini Geldbeutel Tiger;7.15
24976;4001190249763;Mini Rucksack Waschbär;14.5
24977;4001190249770;Mini Geldbeutel Waschbär;7.15
24978;4001190249787;Melamin Set Marienkäfer;11.9
24981;4001190249817;Melamin Set Igel;11.9
24984;4001190249848;Melamin Set Biene;11.9
24985;4001190249855;Snackboxen 3er-Set Fuchs;4.8
24986;4001190249862;Snackboxen 3er-Set Hund;4.8
24990;4001190249909;Melamin Teller Fuchs;2.7
24991;4001190249916;Melamin Schüssel Fuchs;2.4
24992;4001190249923;Melamin Tasse Fuchs;1.9
24994;4001190249947;Edelstahl Trinkflasche Fu;6.2
24995;4001190249954;Melamin Teller Hund;2.7
24996;4001190249961;Melamin Schüssel Hund;2.4
24997;4001190249978;Melamin Tasse Hund;1.9
25004;4001190250042;Brotzeitbox Sammy Samoa;3.8
25006;4001190250066;Brotzeitbox Gina Galopp;3.8
25007;4001190250073;Brotzeitbox Pinky Queeny;3.8
25012;4001190250127;Trinkflasche Sammy Samoa;4.8
25013;4001190250134;Trinkflasche Gina Galopp;4.8
25014;4001190250141;Trinkflasche Pinky Queeny;4.8
25022;4001190250226;Rucksack Krokodil;13.35
25023;4001190250233;Rucksack Igel;13.35
25024;4001190250240;Rucksack Käfer;13.35
25025;4001190250257;Rucksack groß Kily Keeper;16.7
25027;4001190250271;Edelstahl Trinkflasche Hu;6.2
25034;4001190250349;Edelstahl Trinkflasche Ei;7.15
25035;4001190250356;Edelstahl Trinkflasche Af;7.15
25036;4001190250363;Edelstahl Trinkflaschen D;7.15
25040;4001190250400;Rucksack gr Frido Firefig;16.7
25041;4001190250417;Rucksack kl Frido Firefig;14.5
25042;4001190250424;Brustbeutel Frido Firefig;6.2
25043;4001190250431;Kulturbeutel Frido Firefi;7.15
25044;4001190250448;Trolley Frido Firefighter;33.35
25045;4001190250455;Bambusbrotdose Hase Green;6.2
25046;4001190250462;Bambusbrotdose Fuchs Gree;6.2
25047;4001190250479;Bambusbrotdose Biber Gree;6.2
25048;4001190250486;Bambusbrotdose Krokodil G;6.2
37704;4001190377046;I mog Di BeastsTown;16.7
37730;4001190377305;Bär Ach Good! & Friends;19.05
37853;4001190378531;Mopp Toddel BeastsTown;30.95
37907;4001190379071;Francois Firlefant Beasts;28.6
37992;4001190379927;Hase Huberto Hummeltal gr;11.9
37993;4001190379934;Hase Huberto Hummeltal kl;8.1
38025;4001190380251;Cheerio Chicken BeastsTow;30.95
38056;4001190380565;Metusa Leo BeastsTown;23.8
38057;4001190380572;Cat Macchiato BeastsTown;26.2
38058;4001190380589;Paul Platt BeastsTown;28.6
38120;4001190381203;Doc Nightmare BeastsTown;33.35
38137;4001190381371;Hase Huberto Hummeltal mi;4.8
38142;4001190381425;Bär Gildehard Günsburg mi;4.8
38218;4001190382187;Äffchen Patchwork Sweety;14.5
38220;4001190382200;Hase Patchwork Sweety;13.35
38243;4001190382439;Kiez Miez BeastsTown;26.2
38300;4001190383009;Giraffe Patchwork Sweety;15.75
38302;4001190383023;Igel Patchwork Sweety;16.7
38305;4001190383054;Kiki Kiwi BeastsTown;19.05
38309;4001190383092;Kuh Patchwork Sweety;14.5
38311;4001190383115;Elefant Patchwork Sweety;14.5
38322;4001190383221;Erwin kl. Patient Soft Pl;19.05
38337;4001190383375;Mini Bär Ach Good! & Frie;11.9
38340;4001190383405;I'm so beautiful BeastsTo;26.2
