Artikelnummer;Artikelbezeichnung;EAN;Netto
25046;Bambusbrotd. Fuchs Green     ;4001190250462;6.2
25047;Bambusbrotd. Biber Green     ;4001190250479;6.2
25048;Bambusbrotd. Kroko Green     ;4001190250486;6.2
25051;Turnbeutel Flederm School    ;4001190250516;9.55
25053;Rucksack Fuchs Forest        ;4001190250530;11.9
25054;Rucksack Hund Forest         ;4001190250547;11.9
25061;Rucksack Elefant School      ;4001190250615;23.8
25062;Tischset 4 Jahreszeiten      ;4001190250622;6.2
25063;ABC Tischunterlage deu.      ;4001190250639;7.15
25064;ABC Tischunterlage eng.      ;4001190250646;7.15
25065;Turnbeutel Frosch School     ;4001190250653;9.55
25067;Turnbeutel Bär School        ;4001190250677;9.55
25068;Turnbeutel Hase School       ;4001190250684;9.55
25077;Rucksack Kroko School        ;4001190250776;23.8
25078;Rucksack Tiger School        ;4001190250783;23.8
25079;Rucksack Fuchs School        ;4001190250790;23.8
25080;Rucksack Hase School         ;4001190250806;23.8
25081;Melamin Set Schildkröte      ;4001190250813;11.9
25082;Besteckstet Forest Fox       ;4001190250820;2.4
25083;Besteckset Pony Hoppe Dot    ;4001190250837;2.4
25084;Besteckset Hügge Hug         ;4001190250844;2.4
25085;Besteckset Boller Schäfle    ;4001190250851;2.4
25086;Lunchbox Pony OnTour         ;4001190250868;3.35
25087;Lunchbox Chamäl. OnTour      ;4001190250875;3.35
25088;Lunchbox Dino OnTour         ;4001190250882;3.35
25089;Lunchbox Löwe OnTour         ;4001190250899;3.35
25090;Trinkflasche Pony OnTour     ;4001190250905;7.15
25091;Trinkfl. Chamäleon OnTour    ;4001190250912;7.15
25092;Trinkflasche Dino OnTour     ;4001190250929;7.15
25093;Trinkflasche Löwe OnTour     ;4001190250936;7.15
25094;Isolierfl. Farm OnTour       ;4001190250943;13.35
25095;Isolierfl. Zoo OnTour        ;4001190250950;13.35
25096;Isolierfl. Schafe OnTour     ;4001190250967;13.35
25097;Isolierfl. Helden OnTour     ;4001190250974;13.35
25098;Edelst-Trinkf Hund Green 400m;4001190250981;8.6
25100;Edelst-Brotd Hund Green      ;4001190251001;9.55
25101;Melamin Teller Forest Fox    ;4001190251018;3.35
25102;Melamin Tasse Hoppe Dot      ;4001190251025;2.4
25103;Melamin Schüssel Hoppe       ;4001190251032;2.4
25104;Melamin Teller Hoppe Dot     ;4001190251049;3.35
25105;Melamin Tasse Hügge Hund     ;4001190251056;2.4
25106;Melamin Schüssel Hügge       ;4001190251063;2.4
25107;Melamin Teller Hügge Hug     ;4001190251070;3.35
25108;Melamin Tasse Boller         ;4001190251087;2.4
25109;Melamin Schüssel Boller      ;4001190251094;2.4
25110;Melamin Teller Boller        ;4001190251100;3.35
25111;Mel. Teller Löwe Forest      ;4001190251117;2.7
25112;Mel. Schüssel Löwe Forest    ;4001190251124;2.4
25113;Mel. Becher Löwe Forest      ;4001190251131;1.9
25114;Snackboxenset Löwe Forest    ;4001190251148;4.8
25115;Trinkflasche Löwe Forest     ;4001190251155;6.2
25116;Rucksack Löwe Forest         ;4001190251162;11.9
25117;Mel. Teller Hase Forest      ;4001190251179;2.7
25118;Mel. Schüssel Hase Forest    ;4001190251186;2.4
25119;Mel. Becher Hase Forest      ;4001190251193;1.9
25120;Snackboxenset Hase Forest    ;4001190251209;4.8
25121;Trinkflasche Hase Forest     ;4001190251216;6.2
25122;Rucksack Hase Forest         ;4001190251223;11.9
25123;Lunchbox girls School        ;4001190251230;3.8
25124;Lunchbox boys School         ;4001190251247;3.8
25125;Trinkflasche girls School    ;4001190251254;8.6
25126;Trinkflasche boys School     ;4001190251261;8.6
25127;Rucksack Waschbär COLORI     ;4001190251278;13.35
25128;Rucksack Biber COLORI        ;4001190251285;13.35
25129;Rucksack Drache COLORI       ;4001190251292;13.35
25130;Rucksack Elefant COLORI      ;4001190251308;13.35
25131;Rucksack Fuchs COLORI        ;4001190251315;13.35
25132;Lunchbox Farm OnTour         ;4001190251322;3.8
25133;Lunchbox Zoo OnTour          ;4001190251339;3.8
25134;Lunchbox Schafe OnTour       ;4001190251346;3.8
25135;Lunchbox Helden OnTour       ;4001190251353;3.8
25136;Teller Hund Green            ;4001190251360;4.3
25137;Schüssel Hund Green          ;4001190251377;4.3
25138;Tasse Hund Green             ;4001190251384;3.35
25139;Besteck Set Hund Green       ;4001190251391;4.3
25140;Rucksack blau Green          ;4001190251407;19.05
25141;Edelst-Trinkf Katz Green 400m;4001190251414;8.6
25143;Edelst-Brotd Katze Green     ;4001190251438;9.55
25144;Teller Katze Green           ;4001190251445;4.3
25145;Schüssel Katze Green         ;4001190251452;4.3
25146;Tasse Katze Green            ;4001190251469;3.35
25147;Besteck Set Katze Green      ;4001190251476;4.3
25148;Rucksack rot Green           ;4001190251483;19.05
25149;Regensch. Waschbär COLORI    ;4001190251490;6.2
25150;Regenschirm Biber COLORI     ;4001190251506;6.2
25151;Regenschirm Drache COLORI    ;4001190251513;6.2
25152;Regenschirm Elef. COLORI     ;4001190251520;6.2
25153;Regenschirm Fuchs COLORI     ;4001190251537;6.2
25154;Trolley Waschbär COLORI      ;4001190251544;28.6
25155;Trolley Elefant COLORI       ;4001190251551;28.6
25156;Trolley Fuchs COLORI         ;4001190251568;28.6
25157;Kulturta. Waschb. COLORI     ;4001190251575;9.55
25158;Kulturtasche Elef. COLORI    ;4001190251582;9.55
25159;Kulturtasche Fuchs COLORI    ;4001190251599;9.55
37730;Ach Good!- Beasts            ;4001190377305;19.05
37853;Mopp Toddel- Beasts          ;4001190378531;30.95
38025;Cheerio Chicken- Beasts      ;4001190380251;30.95
38056;Metusa Leo- Beasts           ;4001190380565;23.8
38057;Cat Macchiato- Beasts        ;4001190380572;26.2
38058;Paul Platt- Beasts           ;4001190380589;28.6
38120;Doc Nightmare- Beasts        ;4001190381203;33.35
38218;Äffchen Patchwork Sweety     ;4001190382187;14.5
38243;Kiez Miez- Beasts            ;4001190382439;26.2
38300;Giraffe Patchwork Sweety     ;4001190383009;15.75
38302;Igel Patchwork Sweety        ;4001190383023;16.7
38305;Kiki Kiwi- Beasts            ;4001190383054;19.05
38309;Kuh Patchwork Sweety         ;4001190383092;14.5
38311;Elefant Patchwork Sweety     ;4001190383115;14.5
38322;Erwin kl. Pat. Soft&Play     ;4001190383221;19.05
38337;Ach Good! Bear mini- B       ;4001190383375;11.9
38361;Never let You go- Beasts     ;4001190383610;23.8
38367;Bär Patchwork Sweety         ;4001190383672;14.5
38368;Fuchs Patchwork Sweety       ;4001190383689;14.5
38370;Katze Patchwork Sweety       ;4001190383702;14.5
38371;Pferd Patchwork Sweety       ;4001190383719;14.5
38372;Elefant Patchwork Sweety     ;4001190383726;14.5
38374;Löwe Patchwork Sweety        ;4001190383740;14.5
38375;Hund Patchwork Sweety        ;4001190383757;14.5
38377;Tiger Patchwork Sweety       ;4001190383771;14.5
38380;Karrieresau- Beasts          ;4001190383801;26.2
38410;Ever Clever- Beasts..        ;4001190384105;21.45
38415;I wass nix- Beasts           ;4001190384150;23.8
38436;Katze Patchwork Sweety       ;4001190384365;13.35
38456;Fritten Fritze- Beasts       ;4001190384563;23.8
38457;Bloody Marie- Beasts         ;4001190384570;23.8
38482;Doodle Donkey- Beasts        ;4001190384822;23.8
38488;Uni Que- Beasts              ;4001190384884;28.6
38523;Ach Good! Rabbit- Beasts     ;4001190385232;19.05
38524;Ach Good! Rabitt mini- B     ;4001190385249;11.9
38535;Mutt Mutty- Beasts           ;4001190385355;14.5
38575;Mini Bär Gadgets             ;4001190385751;3.8
38576;Mini Hase Gadgets            ;4001190385768;3.8
38606;Lalalangeweile- Beasts       ;4001190386062;19.05
38642;Lost and Found- Beasts       ;4001190386420;28.6
38675;Duchess of Hampershire- B    ;4001190386758;30.95
38692;Känguru Patchwork Sweety     ;4001190386925;16.7
38693;Maus Patchwork Sweety        ;4001190386932;14.5
38694;Frosch Patchwork Sweety      ;4001190386949;14.5
38709;Elefant Patchwork Sweety     ;4001190387090;14.5
38711;Drache Patchwork Sweety      ;4001190387113;14.5
38715;Brave Hair- Beasts           ;4001190387151;28.6
38720;Ach Good! Cow- Beasts        ;4001190387205;19.05
38721;Ach Good! Cow mini- B        ;4001190387212;11.9
38722;Ach Good! Dog- Beasts        ;4001190387229;19.05
38723;Ach Good! Dog mini- B        ;4001190387236;11.9
38727;Hairy Queeny rewashed- B     ;4001190387274;19.05
38741;Mon Key- Beasts              ;4001190387410;23.8
38744;XXL Pferd Patchwork          ;4001190387441;57.5
38745;XXL Fuchs Patchwork          ;4001190387458;57.5
38748;XXL Elefant Patchwork        ;4001190387489;57.5
38764;Kuscheltier Hund Green       ;4001190387649;18.1
38767;Kuscheltier Pferd Green      ;4001190387670;18.1
38768;Kuscheltier Bär Green        ;4001190387687;16.7
38781;Kuscheltier Fuchs Green..    ;4001190387816;16.7
38820;Mini Kroko Gadgets           ;4001190388202;3.8
38821;Mini Fuchs Gadgets           ;4001190388219;3.8
38822;Mini Schaf Gadgets           ;4001190388226;3.8
38826;Hase Patchwork Sweety        ;4001190388264;14.5
38831;Löwe Silvio Savanne klein    ;4001190388318;11.9
38844;Faultier Patchwork Sweety    ;4001190388448;16.7
38847;Schnuller-Schnuffelt pink    ;4001190388479;10.95
38848;Schnuller-Schnuffelt blau    ;4001190388486;10.95
38849;Kuschelwichtel bl Green      ;4001190388493;11.9
38850;Schnuffelwichtel bl Green    ;4001190388509;13.35
38852;Kuschelwichtel ro Green      ;4001190388523;11.9
38853;Schnuffelwichtel ro Green    ;4001190388530;13.35
38864;Fuchs Patchwork Sweety       ;4001190388646;14.5
38866;Bär Patchwork Sweety         ;4001190388660;14.5
38873;XXL Bär Patchwork            ;4001190388738;57.5
38874;XXL Drache Patchwork         ;4001190388745;57.5
38875;Ach Good! Sheep mini- B      ;4001190388752;11.9
38876;Ach Good! Fox mini- B        ;4001190388769;11.9
38880;Ach Good! Frog mini- B       ;4001190388806;11.9
38881;Ach Good! Rabbit mini- B     ;4001190388813;11.9
38884;Einhorn Patchwork Sweety     ;4001190388844;16.7
38885;Schnuffeltuch Schaf Green    ;4001190388851;13.35
38887;Spieluhr Schaf Green         ;4001190388875;16.7
38888;Ach Good! Sheep- Beasts      ;4001190388882;19.05
38889;Ach Good! Fox- Beasts        ;4001190388899;19.05
38923;Ach Good! Frog- Beasts       ;4001190389230;19.05
38924;Ach Good! Rabbit- Beasts     ;4001190389247;19.05
38925;Ach Good! Bear- Beasts       ;4001190389254;19.05
38926;Ach Good! Bear mini- B       ;4001190389261;11.9
38927;Ach Good! Polar Bear- B      ;4001190389278;19.05
38928;Ach Good! Icebear mini- B    ;4001190389285;11.9
38929;Casual Friday- Beasts..      ;4001190389292;27.6
38933;Taco Tuesday- Beasts..       ;4001190389339;21.45
38934;Always in your arms Beast    ;4001190389346;23.8
38935;Forever Together- Beasts     ;4001190389353;23.8
38936;Paradise Paul- Beasts..      ;4001190389360;22.85
38937;Lady Hoo- Beasts             ;4001190389377;19.05
38940;Taste of Tropics- Beasts     ;4001190389407;23.8
38941;Flying French- Beasts        ;4001190389414;21.45
38945;Head Up- Beasts..            ;4001190389452;27.6
38949;Biber Patchwork Sweety       ;4001190389490;14.5
38954;Eidechse oliv Gadgets        ;4001190389544;4.8
38957;Anhänger Elefant Green       ;4001190389575;8.6
38975;HSP-Figur Fuchs Soft&Play    ;4001190389759;19.05
38978;HSP-Figur Kroko Soft&Play    ;4001190389780;19.05
38980;Milk on the fields- Beast    ;4001190389803;23.8
38982;Igel Patchwork Sweety        ;4001190389827;14.5
38995;Schnuffeltuch Hase Green     ;4001190389957;13.35
38996;Schnuffeltuch Bär Green      ;4001190389964;13.35
38997;Greifling Wal Green          ;4001190389971;9.55
38999;Frosch Patchwork Sweety      ;4001190389995;11.9
39001;Bär Flobo Flunderberg br     ;4001190390014;9.55
39003;Holunder Hockenstedt- B      ;4001190390038;23.8
39008;Sushi Susi- Beasts           ;4001190390083;20.5
39023;Spieluhr Hund Signature      ;4001190390236;16.7
39025;Spieluhr Hase Signature      ;4001190390250;16.7
39045;Schnuffeltuch Faultier       ;4001190390458;11.9
39046;Schnuffeltuch Panda          ;4001190390465;11.9
39048;Spieluhr Hase Green          ;4001190390489;16.7
39049;Kuscheltier Hase Green       ;4001190390496;16.7
39052;Spieluhr Hund Green          ;4001190390526;16.7
39053;Kuscheltier Hund Green..     ;4001190390533;15.75
39055;Spieluhr Schaf Green         ;4001190390557;16.7
39056;Kuscheltier Schaf Green..    ;4001190390564;15.75
39074;Eidechse grün Gadgets        ;4001190390748;4.8
39075;Eidechse orange Gadgets      ;4001190390755;4.8
39076;Eidechse grau Gadgets        ;4001190390762;4.8
39077;Eidechse braun Gadgets       ;4001190390779;4.8
39079;Eidechse getupft Gadgets     ;4001190390793;4.8
39081;Chicken Checker- Beasts      ;4001190390816;23.8
39082;Dachs Patchwork Sweety       ;4001190390823;16.7
39083;Wolf Patchwork Sweety        ;4001190390830;16.7
39084;Schwein Patchwork Sweety     ;4001190390847;13.35
39085;Nashorn Patchwork Sweety     ;4001190390854;14.5
39089;Holzgreifling Wolke Green    ;4001190390892;6.2
39090;Holzgreifling Stern Green    ;4001190390908;6.2
39091;Holzgreifling Blatt Green    ;4001190390915;6.2
39092;Waschbär Patchwork Sweety    ;4001190390922;16.7
39106;Schnuffeltuch Hase Green     ;4001190391066;13.35
